Day of simulation;Date;Treatment;Measurement type;Unit;Depth;Value;Variance
8796;14.04.2019;CT;Soil N;kg N ha-1;0 - 15 cm;212.51635;1682
8810;28.04.2019;CT;Soil N;kg N ha-1;0 - 15 cm;229.411547;1682
8824;12.05.2019;CT;Soil N;kg N ha-1;0 - 15 cm;292.384554;1682
8852;09.06.2019;CT;Soil N;kg N ha-1;0 - 15 cm;341.534218;1682
8908;04.08.2019;CT;Soil N;kg N ha-1;0 - 15 cm;235.555255;1682
9006;10.11.2019;CT;Soil N;kg N ha-1;0 - 15 cm;229.411547;1682
8796;14.04.2019;DP;Soil N;kg N ha-1;0 - 15 cm;281.633065;1682
8810;28.04.2019;DP;Soil N;kg N ha-1;0 - 15 cm;281.633065;1682
8824;12.05.2019;DP;Soil N;kg N ha-1;0 - 15 cm;281.633065;1682
8852;09.06.2019;DP;Soil N;kg N ha-1;0 - 15 cm;555.028071;1682
8908;04.08.2019;DP;Soil N;kg N ha-1;0 - 15 cm;269.345649;1682
9006;10.11.2019;DP;Soil N;kg N ha-1;0 - 15 cm;289.3127;1682
8796;14.04.2019;GN;Soil N;kg N ha-1;0 - 15 cm;349.213853;1682
8810;28.04.2019;GN;Soil N;kg N ha-1;0 - 15 cm;413.722787;1682
8824;12.05.2019;GN;Soil N;kg N ha-1;0 - 15 cm;402.971298;1682
8852;09.06.2019;GN;Soil N;kg N ha-1;0 - 15 cm;610.321443;1682
8908;04.08.2019;GN;Soil N;kg N ha-1;0 - 15 cm;402.971298;1682
9006;10.11.2019;GN;Soil N;kg N ha-1;0 - 15 cm;418.330568;1682
8796;14.04.2019;RS;Soil N;kg N ha-1;0 - 15 cm;266.273795;1682
8810;28.04.2019;RS;Soil N;kg N ha-1;0 - 15 cm;296.992335;1682
8824;12.05.2019;RS;Soil N;kg N ha-1;0 - 15 cm;292.384554;1682
8852;09.06.2019;RS;Soil N;kg N ha-1;0 - 15 cm;467.480232;1682
8908;04.08.2019;RS;Soil N;kg N ha-1;0 - 15 cm;307.743824;1682
9006;10.11.2019;RS;Soil N;kg N ha-1;0 - 15 cm;295.456408;1682
8796;14.04.2019;TM;Soil N;kg N ha-1;0 - 15 cm;329.246802;1682
8810;28.04.2019;TM;Soil N;kg N ha-1;0 - 15 cm;372.252758;1682
8824;12.05.2019;TM;Soil N;kg N ha-1;0 - 15 cm;393.755736;1682
8852;09.06.2019;TM;Soil N;kg N ha-1;0 - 15 cm;642.57591;1682
8908;04.08.2019;TM;Soil N;kg N ha-1;0 - 15 cm;409.115006;1682
9006;10.11.2019;TM;Soil N;kg N ha-1;0 - 15 cm;301.600116;1682
8796;14.04.2019;CT;Aggregate C;kg C ha-1;0 - 15 cm;1860.844935;23309.09041
8810;28.04.2019;CT;Aggregate C;kg C ha-1;0 - 15 cm;2139.014445;23309.09041
8824;12.05.2019;CT;Aggregate C;kg C ha-1;0 - 15 cm;1988.722539;23309.09041
8852;09.06.2019;CT;Aggregate C;kg C ha-1;0 - 15 cm;2040.20912;23309.09041
8908;04.08.2019;CT;Aggregate C;kg C ha-1;0 - 15 cm;1986.986161;23309.09041
9006;10.11.2019;CT;Aggregate C;kg C ha-1;0 - 15 cm;1987.343243;23309.09041
8796;14.04.2019;DP;Aggregate C;kg C ha-1;0 - 15 cm;2358.13414;23309.09041
8810;28.04.2019;DP;Aggregate C;kg C ha-1;0 - 15 cm;3321.987561;23309.09041
8824;12.05.2019;DP;Aggregate C;kg C ha-1;0 - 15 cm;2547.569551;23309.09041
8852;09.06.2019;DP;Aggregate C;kg C ha-1;0 - 15 cm;2622.795666;23309.09041
8908;04.08.2019;DP;Aggregate C;kg C ha-1;0 - 15 cm;2328.96094;23309.09041
9006;10.11.2019;DP;Aggregate C;kg C ha-1;0 - 15 cm;2457.642076;23309.09041
8796;14.04.2019;GN;Aggregate C;kg C ha-1;0 - 15 cm;2792.780789;23309.09041
8810;28.04.2019;GN;Aggregate C;kg C ha-1;0 - 15 cm;3329.748785;23309.09041
8824;12.05.2019;GN;Aggregate C;kg C ha-1;0 - 15 cm;3059.214639;23309.09041
8852;09.06.2019;GN;Aggregate C;kg C ha-1;0 - 15 cm;3348.523672;23309.09041
8908;04.08.2019;GN;Aggregate C;kg C ha-1;0 - 15 cm;2968.470991;23309.09041
9006;10.11.2019;GN;Aggregate C;kg C ha-1;0 - 15 cm;3196.626111;23309.09041
8796;14.04.2019;RS;Aggregate C;kg C ha-1;0 - 15 cm;2648.433645;23309.09041
8810;28.04.2019;RS;Aggregate C;kg C ha-1;0 - 15 cm;3179.910091;23309.09041
8824;12.05.2019;RS;Aggregate C;kg C ha-1;0 - 15 cm;2880.938467;23309.09041
8852;09.06.2019;RS;Aggregate C;kg C ha-1;0 - 15 cm;2668.661751;23309.09041
8908;04.08.2019;RS;Aggregate C;kg C ha-1;0 - 15 cm;2534.667848;23309.09041
9006;10.11.2019;RS;Aggregate C;kg C ha-1;0 - 15 cm;2494.481384;23309.09041
8796;14.04.2019;TM;Aggregate C;kg C ha-1;0 - 15 cm;2810.074662;23309.09041
8810;28.04.2019;TM;Aggregate C;kg C ha-1;0 - 15 cm;3185.077146;23309.09041
8824;12.05.2019;TM;Aggregate C;kg C ha-1;0 - 15 cm;3509.827722;23309.09041
8852;09.06.2019;TM;Aggregate C;kg C ha-1;0 - 15 cm;3289.029066;23309.09041
8908;04.08.2019;TM;Aggregate C;kg C ha-1;0 - 15 cm;2901.368006;23309.09041
9006;10.11.2019;TM;Aggregate C;kg C ha-1;0 - 15 cm;3259.528651;23309.09041
8796;14.04.2019;CT;Free MOAC;kg C ha-1;0 - 15 cm;1944.230356;13746.05988
8810;28.04.2019;CT;Free MOAC;kg C ha-1;0 - 15 cm;1537.282775;13746.05988
8824;12.05.2019;CT;Free MOAC;kg C ha-1;0 - 15 cm;1819.621005;13746.05988
8852;09.06.2019;CT;Free MOAC;kg C ha-1;0 - 15 cm;1646.010282;13746.05988
8908;04.08.2019;CT;Free MOAC;kg C ha-1;0 - 15 cm;1583.290115;13746.05988
9006;10.11.2019;CT;Free MOAC;kg C ha-1;0 - 15 cm;1665.875536;13746.05988
8796;14.04.2019;DP;Free MOAC;kg C ha-1;0 - 15 cm;2208.607778;13746.05988
8810;28.04.2019;DP;Free MOAC;kg C ha-1;0 - 15 cm;2117.389453;13746.05988
8824;12.05.2019;DP;Free MOAC;kg C ha-1;0 - 15 cm;2226.72915;13746.05988
8852;09.06.2019;DP;Free MOAC;kg C ha-1;0 - 15 cm;2081.030351;13746.05988
8908;04.08.2019;DP;Free MOAC;kg C ha-1;0 - 15 cm;2390.139937;13746.05988
9006;10.11.2019;DP;Free MOAC;kg C ha-1;0 - 15 cm;2253.171767;13746.05988
8796;14.04.2019;GN;Free MOAC;kg C ha-1;0 - 15 cm;2427.128007;13746.05988
8810;28.04.2019;GN;Free MOAC;kg C ha-1;0 - 15 cm;2874.051476;13746.05988
8824;12.05.2019;GN;Free MOAC;kg C ha-1;0 - 15 cm;2683.57417;13746.05988
8852;09.06.2019;GN;Free MOAC;kg C ha-1;0 - 15 cm;2581.127874;13746.05988
8908;04.08.2019;GN;Free MOAC;kg C ha-1;0 - 15 cm;2508.811901;13746.05988
9006;10.11.2019;GN;Free MOAC;kg C ha-1;0 - 15 cm;2611.278587;13746.05988
8796;14.04.2019;RS;Free MOAC;kg C ha-1;0 - 15 cm;1806.619767;13746.05988
8810;28.04.2019;RS;Free MOAC;kg C ha-1;0 - 15 cm;1745.765837;13746.05988
8824;12.05.2019;RS;Free MOAC;kg C ha-1;0 - 15 cm;1937.799317;13746.05988
8852;09.06.2019;RS;Free MOAC;kg C ha-1;0 - 15 cm;1630.132094;13746.05988
8908;04.08.2019;RS;Free MOAC;kg C ha-1;0 - 15 cm;1952.249005;13746.05988
9006;10.11.2019;RS;Free MOAC;kg C ha-1;0 - 15 cm;2112.218758;13746.05988
8796;14.04.2019;TM;Free MOAC;kg C ha-1;0 - 15 cm;2586.474422;13746.05988
8810;28.04.2019;TM;Free MOAC;kg C ha-1;0 - 15 cm;2658.006815;13746.05988
8824;12.05.2019;TM;Free MOAC;kg C ha-1;0 - 15 cm;2675.123975;13746.05988
8852;09.06.2019;TM;Free MOAC;kg C ha-1;0 - 15 cm;2584.669246;13746.05988
8908;04.08.2019;TM;Free MOAC;kg C ha-1;0 - 15 cm;2835.075405;13746.05988
9006;10.11.2019;TM;Free MOAC;kg C ha-1;0 - 15 cm;2644.179674;13746.05988
4440;11.05.2007;RS;Litterbag C;kg C ha-1;0 - 15 cm;2679.1;16162
4447;18.05.2007;RS;Litterbag C;kg C ha-1;0 - 15 cm;2202;16162.68
4461;01.06.2007;RS;Litterbag C;kg C ha-1;0 - 15 cm;1541.4;16162.68
4489;29.06.2007;RS;Litterbag C;kg C ha-1;0 - 15 cm;660.6;16162.68
4545;24.08.2007;RS;Litterbag C;kg C ha-1;0 - 15 cm;256.9;16162.68
4615;02.11.2007;RS;Litterbag C;kg C ha-1;0 - 15 cm;110.1;16162.68
4799;04.05.2008;RS;Litterbag C;kg C ha-1;0 - 15 cm;36.7;16162.68
4440;11.05.2007;GN;Litterbag C;kg C ha-1;0 - 15 cm;1552;16162.68
4447;18.05.2007;GN;Litterbag C;kg C ha-1;0 - 15 cm;970;16162.68
4461;01.06.2007;GN;Litterbag C;kg C ha-1;0 - 15 cm;776;16162.68
4489;29.06.2007;GN;Litterbag C;kg C ha-1;0 - 15 cm;388;16162.68
4545;24.08.2007;GN;Litterbag C;kg C ha-1;0 - 15 cm;194;16162.68
4615;02.11.2007;GN;Litterbag C;kg C ha-1;0 - 15 cm;155.2;16162.68
4799;04.05.2008;GN;Litterbag C;kg C ha-1;0 - 15 cm;116.4;16162.68
4440;11.05.2007;DP;Litterbag C;kg C ha-1;0 - 15 cm;3759.9;16162.68
4447;18.05.2007;DP;Litterbag C;kg C ha-1;0 - 15 cm;3533.4;16162.68
4461;01.06.2007;DP;Litterbag C;kg C ha-1;0 - 15 cm;3216.3;16162.68
4489;29.06.2007;DP;Litterbag C;kg C ha-1;0 - 15 cm;3080.4;16162.68
4545;24.08.2007;DP;Litterbag C;kg C ha-1;0 - 15 cm;2944.5;16162.68
4615;02.11.2007;DP;Litterbag C;kg C ha-1;0 - 15 cm;2627.4;16162.68
4799;04.05.2008;DP;Litterbag C;kg C ha-1;0 - 15 cm;1721.4;16162.68
4440;11.05.2007;TM;Litterbag C;kg C ha-1;0 - 15 cm;2989;16162.68
4447;18.05.2007;TM;Litterbag C;kg C ha-1;0 - 15 cm;2690.1;16162.68
4461;01.06.2007;TM;Litterbag C;kg C ha-1;0 - 15 cm;2348.5;16162.68
4489;29.06.2007;TM;Litterbag C;kg C ha-1;0 - 15 cm;1622.6;16162.68
4545;24.08.2007;TM;Litterbag C;kg C ha-1;0 - 15 cm;1024.8;16162.68
4615;02.11.2007;TM;Litterbag C;kg C ha-1;0 - 15 cm;896.7;16162.68
4799;04.05.2008;TM;Litterbag C;kg C ha-1;0 - 15 cm;427;16162.68
